t,Σώμα_A,Σώμα_B,Σώμα_C,STATE
0,y,y,y,
"0,2","-157,16","-86,56","-45,69",
"0,4","-157,16","-90,28","-45,69",
"0,6","-159,01","-90,28","-45,69",
"0,8","-162,73","-92,13","-45,69",
1,"-164,59","-92,13","-41,97",
"1,2","-166,44","-101,4","-45,69",
"1,4","-170,16","-101,4","-45,69",
"1,6","-175,73","-101,4","-47,55",
"1,8","-177,59",-102,"-51,26",
2,"-170,16","-102,6","-51,26",
"2,2","-170,16","-102,9","-43,83",
"2,4","-170,16","-103,7","-51,26",
"2,6","-170,16","-107,3","-62,41",
"2,8","-177,59","-110,7","-64,27",
3,"-179,45","-110,7","-71,70",
"3,2","-179,45","-112,6","-71,70",
"3,4","-175,73","-112,6","-71,70",
"3,6","-179,45","-114,4","-60,55",
"3,8","-181,31","-114,6","-64,27",
4,"-181,31","-114,4","-66,12",
"4,2","-183,16","-114,4","-66,12",
"4,4","-185,02",-120,"-67,98",
"4,6","-185,02",-120,"-62,41",S
"4,8","-185,02","-121,9","-64,27",M
5,"-181,31","-121,9","-64,27",M
"5,2","-179,45","-121,9","-69,84",M
"5,4","-179,45","-123,7","-69,84",M
"5,6","-179,45","-123,7","-67,98",M
"5,8","-179,45","-123,7","-71,70",M
6,"-179,45","-123,7","-66,12",M
"6,2","-179,45","-123,7","-66,12",M
"6,4","-179,45","-123,7","-64,27",M
"6,6","-179,45","-123,7","-64,27",M
"6,8","-181,31","-123,7","-69,84",M
7,"-183,16","-123,7","-64,27",M
"7,2","-185,02","-123,7","-64,27",M
"7,4","-186,88","-123,7","-66,12",M
"7,6","-196,17","-123,7","-66,12",M
"7,8","-198,03","-123,7","-66,12",M
8,"-205,46","-123,7","-67,98",M
"8,2","-205,46","-123,7","-67,98",M
"8,4","-205,46","-123,7","-67,98",M
"8,6","-205,46","-123,7","-66,12",M
"8,8","-207,31","-123,7","-66,12",M
9,"-207,31","-123,7","-66,12",M
"9,2","-211,03","-123,7","-64,27",M
"9,4","-212,89","-123,7","-67,98",M
"9,6","-214,75","-123,7","-67,98",M
"9,8","-220,32","-123,7","-67,98",M
10,"-227,75","-125,6","-67,98",M
"10,2","-231,47",-133,"-71,70",M
"10,4","-231,47",-133,"-75,41",M
"10,6","-227,75",-133,"-75,41",M
"10,8","-235,18",-133,"-75,41",M
11,"-235,18",-133,"-75,41",M
"11,2","-238,90",-133,"-75,41",M
"11,4","-240,75","-136,7","-77,27",F
"11,6","-240,75","-140,4","-75,41",
"11,8","-244,47","-140,4","-75,41",
12,"-255,62","-142,3","-75,41",
"12,2","-259,33","-144,2","-75,41",
"12,4","-261,19","-144,2","-73,56",
"12,6","-268,62","-144,2","-73,56",
"12,8","-277,91","-151,6","-73,56",
13,"-279,77","-155,3","-73,56",
"13,2","-281,63","-155,3","-79,13",
"13,4","-287,20",-159,"-79,13",
"13,6","-294,63",-159,"-79,13",
"13,8","-296,49","-166,4","-77,27",
14,"-302,06",-172,"-77,27",
"14,2","-307,63","-173,9","-79,13",
"14,4","-309,49","-173,9","-79,13",
"14,6","-316,92","-177,6","-79,13",
"14,8","-320,64","-181,3","-79,13",
15,"-335,50","-181,3","-79,13",
"15,2","-348,51",-185,"-79,13",
"15,4","-361,51",-185,"-77,27",
"15,6","-378,23","-196,2","-77,27",
"15,8","-389,38",-198,"-77,27",
16,"-407,95","-201,7","-77,27",
"16,2","-420,35","-209,2","-77,27",
"16,4","-432,75","-209,2","-77,27",
"16,6","-445,15","-214,7","-77,27",
"16,8","-457,55","-214,7","-77,27",
17,"-469,95","-214,7","-73,56",
"17,2","-482,35","-214,7","-73,56",
"17,4","-494,75","-218,5","-73,56",
"17,6","-507,15","-227,8","-73,56",
"17,8","-519,55",-237,"-75,41",
18,"-531,95","-242,6","-73,56",
"18,2","-544,35","-244,5","-71,70",
"18,4","-556,75","-255,6","-73,56",
"18,6","-569,15","-259,3","-75,41",
"18,8","-581,55",-263,"-75,41",
19,"-593,95","-270,5","-82,84",
"19,2","-606,35","-279,8","-82,84",
"19,4","-618,75","-287,2","-82,84",
"19,6","-631,15","-290,9","-82,84",
"19,8","-643,55","-300,2","-82,84",
20,"-655,95","-302,1","-82,84",
"20,2","-668,35","-315,1","-86,56",
"20,4","-680,75","-337,4","-86,56",
"20,6","-693,15","-344,8","-86,56",
"20,8","-705,55","-357,8","-86,56",
21,"-717,95","-368,1","-82,84",
"21,2","-730,35","-378,4","-86,56",
"21,4","-742,75","-388,7","-88,42",
"21,6","-755,15",-399,"-97,71",
"21,8","-767,55","-409,3","-99,56",
22,"-779,95","-419,6","-97,71",
"22,2","-792,35","-429,9","-103,28",
"22,4","-804,75","-440,2","-108,85",
"22,6","-817,15","-450,5","-127,43",
"22,8","-829,55","-460,8","-127,43",
23,"-841,95","-471,1","-133,00",
"23,2","-854,35","-481,4","-131,15",
"23,4","-866,75","-491,7","-131,15",
"23,6","-879,15",-502,"-131,15",
"23,8","-891,55","-512,3","-142,29",
24,"-903,95","-522,6","-140,44",
"24,2","-916,35","-532,9","-140,44",
"24,4","-928,75","-543,2","-140,44",
"24,6","-941,15","-553,5","-147,87",
"24,8","-953,55","-563,8","-147,87",
25,"-965,95","-574,1","-155,30",
"25,2","-978,35","-584,4","-157,16",
"25,4","-990,75","-594,7","-160,87",
"25,6","-1003,15",-605,"-162,73",
"25,8","-1015,55","-615,3","-175,73",
26,"-1027,95","-625,6","-172,02",
"26,2","-1040,35","-635,9","-172,02",
"26,4","-1052,75","-646,2","-170,16",
"26,6","-1065,15","-656,5","-177,59",
"26,8","-1077,55","-666,8","-179,45",
27,"-1089,95","-677,1","-181,31",
"27,2","-1102,35","-687,4","-188,74",
"27,4","-1114,75","-697,7","-199,88",
"27,6","-1127,15",-708,"-203,60",
"27,8","-1139,55","-718,3","-212,89",
28,"-1151,95","-728,6","-233,32",
"28,2","-1164,35","-738,9","-233,32",
"28,4","-1176,75","-749,2","-229,61",
"28,6","-1189,15","-759,5","-237,04",
"28,8","-1201,55","-769,8","-244,47",
29,"-1213,95","-780,1","-244,47",
"29,2","-1226,35","-790,4","-251,90",
"29,4","-1238,75","-800,7","-259,33",
"29,6","-1251,15",-811,"-266,76",
"29,8","-1263,55","-821,3","-272,34",
30,"-1275,95","-831,6","-276,05",
"30,2","-1288,35","-841,9","-281,63",
"30,4","-1300,75","-852,2","-290,91",
"30,6","-1313,15","-862,5","-292,77",
"30,8","-1325,55","-872,8","-303,92",
31,"-1337,95","-883,1","-302,06",
"31,2","-1350,35","-893,4","-302,06",
"31,4","-1362,75","-903,7","-303,92",
"31,6","-1375,15",-914,"-324,35",
"31,8","-1387,55","-924,3","-328,07",
32,"-1399,95","-934,6","-354,08",
