,Σώμα_A,Σώμα_B,Σώμα_C,STATE
t,y,y,y,
"32,6","-90,99","-9,23","12,82",
"32,8","-90,99","-9,23","12,82",
33,"-90,99","-9,23","12,82",
"33,2","-90,99","-7,91","12,82",
"33,4","-90,99","-7,91","12,82",
"33,6","-90,99","-7,91","12,82",
"33,8","-90,99","-7,91","12,82",
34,"-90,99","-7,91","12,82",
"34,2","-90,99","-7,91","12,82",
"34,4","-90,99","-7,91","12,82",
"34,6","-90,99","-7,91","12,82",
"34,8","-90,99","-7,91","12,82",
35,"-90,99","-7,91","12,82",
"35,2","-90,99","-6,59","12,82",
"35,4","-90,99","-6,59","12,82",
"35,6","-90,99","-6,59","12,82",
"35,8","-90,99","-6,59","12,82",
36,"-90,99","-6,59","12,82",
"36,2","-90,99","-6,59","12,82",
"36,4","-90,99","-6,59","12,82",
"36,6","-90,99","-6,59","12,82",
"36,8","-89,67","-6,59","12,82",
37,"-88,35","-6,59","12,82",
"37,2","-88,35","-6,59","12,82",
"37,4","-88,35","-13,19","9,23",
"37,6","-85,71","-18,46","9,23",
"37,8","-79,12","-19,78","9,23",
38,"-81,76","-19,78","9,23",
"38,2","-84,40","-15,82","9,23",
"38,4","-85,71","-14,51","9,23",
"38,6","-87,03","-9,23","9,23",
"38,8","-87,03","-18,46","9,23",
39,"-87,03","-18,46","9,23",
"39,2","-88,35","-18,46","9,23",
"39,4","-88,35","-18,46","9,23",
"39,6","-88,35","-13,19","9,23",
"39,8","-88,35","-13,19","9,23",
40,"-88,35","-13,19","9,23",
"40,2","-88,35","-17,14","9,23",
"40,4","-89,67","-18,46","9,23",
"40,6","-89,67","-18,46","9,23",
"40,8","-89,67","-19,78","9,23",
41,"-89,67","-19,78","9,23",
"41,2","-89,67","-19,78","9,23",
"41,4","-89,67","-19,78","9,23",
"41,6","-88,35","-19,78","9,23",
"41,8","-88,35","-19,78","9,23",
42,"-88,35","-21,10","9,23",
"42,2","-88,35","-21,10","9,23",
"42,4","-88,35","-21,10","9,23",
"42,6","-88,35","-21,10","9,23",
"42,8","-88,35","-27,69","9,23",
43,"-85,71","-27,69","9,23",
"43,2","-85,71","-27,69","9,23",
"43,4","-85,71","-27,69","9,23",
"43,6","-85,71","-27,69","9,23",
"43,8","-85,71","-27,69","9,23",
44,"-85,71","-27,69","9,23",
"44,2","-85,71","-27,69","9,23",
"44,4","-85,71","-27,69","9,23",
"44,6","-85,71","-26,37","9,23",
"44,8","-85,71","-25,05","9,23",
45,"-85,71","-25,05","9,23",
"45,2","-85,71","-26,37","9,23",
