,Σώμα_C,Σώμα_D,Σώμα_E,
t,y,y,y,
31,"-485,03","-243,35","-138,86",
"31,2","-490,43","-240,60","-141,61",
"31,4","-495,83","-240,60","-142,99",
"31,6","-501,23","-240,60","-144,36",
"31,8","-506,63","-247,48","-149,86",
32,"-512,03","-252,98","-152,61",
"32,2","-517,43","-262,60","-152,61",
"32,4","-522,83","-265,35","-151,24",
"32,6","-528,23","-257,10","-164,98",
"32,8","-533,63","-257,10","-166,36",
33,"-539,03","-254,35","-163,61",
"33,2","-544,43","-272,22","-167,73",
"33,4","-549,83","-280,47","-164,98",
"33,6","-555,23","-281,85","-160,86",
"33,8","-560,63","-287,35","-160,86",
34,"-566,03","-291,47","-163,61",
"34,2","-571,43","-294,22","-169,11",
"34,4","-576,83","-292,85","-169,11",
"34,6","-582,23","-296,97","-173,23",
"34,8","-587,63","-303,85","-177,36",
35,"-593,03","-312,09","-180,11",
"35,2","-598,43","-313,47","-184,23",
"35,4","-603,83","-318,97","-191,11",
"35,6","-609,23","-334,09","-191,11",
"35,8","-614,63","-334,09","-192,48",
36,"-620,03","-332,72","-192,48",
"36,2","-625,43","-357,47","-192,48",
"36,4","-630,83","-357,47","-195,23",
"36,6","-636,23","-356,09","-200,73",
"36,8","-641,63","-354,72","-200,73",
37,"-647,03","-368,46","-203,48",
"37,2","-652,43","-368,46","-213,10",
"37,4","-657,83","-378,09","-228,23",
"37,6","-663,23","-383,59","-228,23",
"37,8","-668,63","-405,59","-221,35",
38,"-674,03","-409,71","-230,98",
"38,2","-679,43","-412,46","-230,98",
"38,4","-684,83","-402,84","-228,23",
"38,6","-690,23","-398,71","-239,23",
"38,8","-695,63","-402,84","-239,23",
39,"-701,03","-411,09","-241,98",
"39,2","-706,43","-416,58","-254,35",
"39,4","-711,83","-420,71","-255,73",
"39,6","-717,23","-434,46","-263,97",
"39,8","-722,63","-439,96","-263,97",
40,"-728,03","-444,08","-266,72",
"40,2","-733,43","-453,71","-268,10",
"40,4","-738,83","-455,08","-280,47",
"40,6","-744,23","-467,46","-283,22",
"40,8","-749,63","-472,86","-291,47",
41,"-755,03","-478,26","-302,47",
"41,2","-760,43","-483,66","-302,47",
"41,4","-765,83","-489,06","-301,10",
"41,6","-771,23","-494,46","-291,47",
"41,8","-776,63","-499,86","-305,22",
42,"-782,03","-505,26","-310,72",
"42,2","-787,43","-510,66","-306,60",
"42,4","-792,83","-516,06","-314,84",
"42,6","-798,23","-521,46","-314,84",
"42,8","-803,63","-526,86","-314,84",
43,"-809,03","-532,26","-335,47",
"43,2","-814,43","-537,66","-343,72",
"43,4","-819,83","-543,06","-353,34",
"43,6","-825,23","-548,46","-346,47",
"43,8","-830,63","-553,86","-345,09",
44,"-836,03","-559,26","-345,09",
"44,2","-841,43","-564,66","-345,09",
"44,4","-846,83","-570,06","-349,22",
"44,6","-852,23","-575,46","-364,34",
"44,8","-857,63","-580,86","-367,09",
45,"-863,03","-586,26","-376,71",
"45,2","-868,43","-591,66","-386,34",
"45,4","-873,83","-597,06","-383,59",
"45,6","-879,23","-602,46","-386,34",
"45,8","-884,63","-607,86","-389,09",
46,"-890,03","-613,26","-408,34",
"46,2","-895,43","-618,66","-415,21",
"46,4","-900,83","-624,06","-422,08",
"46,6","-906,23","-629,46","-420,71",
