t,Σώμα_A,Σώμα_B,Σώμα_C,STATE
,y,y,y,
0,"97,58","113,11","145,60",
"0,2","97,58","111,01","139,20",
"0,4","97,58","108,91","132,80",
"0,6","97,58","106,81","126,40",
"0,8","97,58","106,81","120,00",
1,"90,99","106,81","113,41",
"1,2","85,71","103,13","113,41",
"1,4","85,71","101,54","113,41",S
"1,6","87,03","96,26","110,77",M
"1,8","87,03","96,26","110,77",M
2,"84,4","96,26","110,77",M
"2,2","84,4","96,26","107,04",M
"2,4","84,4","93,63","106,04",M
"2,6","84,4","89,67","106,04",M
"2,8","80,44","89,67","105,49",M
3,"77,8","88,35","104,18",M
"3,2","68,57","87,03","102,86",M
"3,4","67,25","83,08","97,58",M
"3,6","64,62","79,12","97,58",M
"3,8","63,3","79,12","97,58",M
4,"58,02","68,57","88,35",F
"4,2","55,38","69,89","85,71",
"4,4","52,75","69,89","85,71",
"4,6","40,88","67,25","85,71",
"4,8","39,56","65,93","85,71",
5,"36,92","63,30","80,44",
"5,2","34,29","60,66","77,80",
"5,4","30,33","60,66","75,16",
"5,6","29,01","56,70","71,21",
"5,8","27,69","56,70","71,21",
6,"23,74","55,38","71,21",
"6,2","21,1","52,75","71,21",
"6,4","19,78","47,47","69,89",
"6,6","7,912","47,47","69,89",
"6,8","5,275","26,37","65,93",
7,0,"27,69","60,66",
"7,2",0,"27,69","58,02",
"7,4","-15,82","25,05","50,11",
"7,6","-18,46","22,42","42,20",
"7,8","-18,46","21,10","42,20",
8,"-26,37","21,10","50,11",
"8,2","-26,37","10,55","46,15",
"8,4","-32,97","10,55","43,52",
"8,6","-32,97","6,59","42,20",
"8,8","-39,56","1,32","34,29",
9,"-72,53","-2,64","15,82",
"9,2","-72,53","-3,96","18,46",
"9,4","-75,16","-3,96","25,05",
"9,6","-81,76","-18,46","17,14",
"9,8","-96,26","-18,46","13,19",
10,"-97,58","-23,74","6,59",
"10,2","-98,9","-29,01","-10,55",
"10,4","-114,7","-36,92","-10,55",
"10,6","-126,6","-52,75","-11,87",
"10,8","-131,9","-67,25","-14,51",
11,"-146,4","-73,85","-18,46",
"11,2","-160,9","-75,16","-22,42",
"11,4","-171,4","-76,48","-27,69",
"11,6","-180,7","-104,18","-35,60",
"11,8","-192,5","-102,86","-36,92",
12,"-205,7","-108,13","-38,24",
"12,2","-238,7","-116,04","-40,88",
"12,4","-245,3","-121,32","-47,47",
"12,6","-251,9","-133,19","-54,07",
"12,8","-266,4","-150,33","-61,98",
13,"-279,6","-152,97","-73,85",
"13,2","-287,5","-159,56","-80,44",
"13,4","-300,7","-170,11","-90,99",
"13,6","-313,8","-192,53","-98,90",
"13,8","-340,2","-204,40","-105,49",
14,"-362,6","-230,77","-117,36",
"14,2","-362,6","-232,09","-158,24",
"14,4",-384,"-250,55","-163,52",
"14,6","-405,4","-271,65","-163,52",
"14,8","-426,8","-280,88","-163,52",
15,"-448,2","-301,98","-168,79",
"15,2","-469,6","-315,16","-193,85",
"15,4",-491,"-317,80","-200,44",
"15,6","-512,4","-367,91","-203,08",
"15,8","-533,8","-391,65","-221,54",
16,"-555,2","-411,85","-245,27",
"16,2","-576,6","-432,05","-259,78",
"16,4",-598,"-452,25","-269,01",
"16,6","-619,4","-472,45","-299,34",
"16,8","-640,8","-492,65","-311,21",
17,"-662,2","-512,85","-338,90",
"17,2","-683,6","-533,05","-361,32",
