t,Σώμα_A,Σώμα_B,Σώμα_C,STATE
"18,2","-363,96","-179,34","-61,98",
"18,4","-365,27","-184,62","-61,98",
"18,6","-374,51","-185,93","-67,25",
"18,8","-381,10","-189,89","-69,89",
19,"-382,42","-191,21","-69,89",
"19,2","-383,74","-191,21","-71,21",
"19,4","-394,29","-191,21","-77,80",
"19,6","-400,88","-193,85","-84,40",
"19,8","-399,56","-200,44","-90,99",
20,"-399,56","-197,80","-92,31",
"20,2","-403,52","-203,08","-84,40",
"20,4","-406,15","-203,08","-87,03",
"20,6","-410,11","-208,35","-90,99",
"20,8","-410,11","-208,35","-98,90",
21,"-410,11","-208,35","-98,90",
"21,2","-418,02","-210,99","-98,90",
"21,4","-421,98","-214,95","-98,90",
"21,6","-425,93","-216,26","-98,90",
"21,8","-432,53","-217,58","-100,22",
22,"-432,53","-218,90","-105,49",
"22,2","-433,85","-232,09","-112,09",
"22,4","-437,80","-228,13","-110,77",
"22,6","-443,08","-234,73","-112,09",
"22,8","-443,08","-234,73","-114,73",
23,"-441,76","-241,32","-120,00",
"23,2","-443,08","-253,19","-120,00",
"23,4","-444,40","-253,19","-121,32",
"23,6","-444,40","-253,19","-121,32",
"23,8","-444,40","-257,14","-126,59",
24,"-444,40","-261,10","-129,23",
"24,2","-444,40","-263,74","-137,14",
"24,4","-450,90","-270,33","-137,14",
"24,6","-457,40","-274,29","-139,78",
"24,8","-463,90","-274,29","-139,78",
25,"-470,40","-274,29","-145,05",
"25,2","-476,90","-287,47","-147,69",
"25,4","-483,40","-286,15","-149,01",
"25,6","-489,90","-295,38","-151,65",
"25,8","-496,40","-296,70","-151,65",
26,"-502,90","-298,02","-151,65",
"26,2","-509,40","-298,02","-158,24",
"26,4","-515,90","-298,02","-158,24",
"26,6","-522,40","-303,30","-160,88",
"26,8","-528,90","-303,30","-160,88",
27,"-535,40","-303,30","-166,15",
"27,2","-541,90","-304,62","-174,07",
"27,4","-548,40","-315,16","-172,75",
"27,6","-554,90","-313,85","-172,75",
"27,8","-561,40","-313,85","-176,70",
28,"-567,90","-309,89","-180,66",
"28,2","-574,40","-311,21","-185,93",
"28,4","-580,90","-312,53","-191,21",
"28,6","-587,40","-317,80","-191,21",
"28,8","-593,90","-321,76","-191,21",
29,"-600,40","-323,08","-203,08",
"29,2","-606,90","-330,99","-192,53",
"29,4","-613,40","-338,90","-192,53",
"29,6","-619,90","-338,90","-192,53",
"29,8","-626,40","-340,22","-191,21",
30,"-632,90","-344,18","-191,21",
"30,2","-639,40","-346,81","-193,85",
"30,4","-645,90","-346,81","-197,80",
"30,6","-652,40","-349,45","-196,48",
"30,8","-658,90","-349,45","-197,80",
31,"-665,40","-353,41","-201,76",
"31,2","-671,90","-357,36","-210,99",
"31,4","-678,40","-357,36","-212,31",
"31,6","-684,90","-360,00","-213,63",
"31,8","-691,40","-363,96","-210,99",
32,"-697,90","-365,27","-212,31",
"32,2","-704,40","-367,91","-212,31",
"32,4","-710,90","-365,27","-212,31",
"32,6","-717,40","-365,27","-212,31",
"32,8","-723,90","-365,27","-220,22",
33,"-730,40","-370,55","-225,49",
"33,2","-736,90","-370,55","-226,81",
"33,4","-743,40","-371,87","-230,77",
"33,6","-749,90","-374,51","-232,09",
"33,8","-756,40","-377,14","-228,13",
34,"-762,90","-378,46","-228,13",
"34,2","-769,40","-379,78","-228,13",
"34,4","-775,90","-379,78","-229,45",
"34,6","-782,40","-389,01","-229,45",
"34,8","-788,90","-386,37","-233,41",
35,"-795,40","-392,97","-234,73",
"35,2","-801,90","-395,60","-234,73",
"35,4","-808,40","-398,24","-234,73",
"35,6","-814,90","-402,20","-234,73",
"35,8","-821,40","-408,79","-234,73",
36,"-827,90","-410,11","-234,73",
"36,2","-834,40","-410,11","-236,04",
"36,4","-840,90","-412,75","-236,04",
"36,6","-847,40","-428,57","-237,36",
"36,8","-853,90","-428,57","-237,36",
37,"-860,40","-425,93","-236,04",
"37,2","-866,90","-428,57","-236,04",
"37,4","-873,40","-428,57","-232,09",
"37,6","-879,90","-431,21","-232,09",
"37,8","-886,40","-437,80","-233,41",
38,"-892,90","-437,80","-234,73",
"38,2","-899,40","-437,80","-240,00",
"38,4","-905,90","-443,08","-242,64",
"38,6","-912,40","-444,40","-240,00",
"38,8","-918,90","-451,20","-243,96",
39,"-925,40","-458,00","-238,68",
"39,2","-931,90","-464,80","-238,68",
"39,4","-938,40","-471,60","-238,68",
"39,6","-944,90","-478,40","-238,68",
"39,8","-951,40","-485,20","-238,68",
40,"-957,90","-492,00","-238,68",
"40,2","-964,40","-498,80","-238,68",
"40,4","-970,90","-505,60","-246,59",
"40,6","-977,40","-512,40","-246,59",
"40,8","-983,90","-519,20","-246,59",
41,"-990,40","-526,00","-246,59",
"41,2","-996,90","-532,80","-246,59",
"41,4","-1003,40","-539,60","-249,23",
"41,6","-1009,90","-546,40","-246,59",
"41,8","-1016,40","-553,20","-246,59",
42,"-1022,90","-560,00","-250,55",
"42,2","-1029,40","-566,80","-242,64",
"42,4","-1035,90","-573,60","-242,64",
"42,6","-1042,40","-580,40","-242,64",
"42,8","-1048,90","-587,20","-246,59",
43,"-1055,40","-594,00","-249,23",
"43,2","-1061,90","-600,80","-249,23",
"43,4","-1068,40","-607,60","-249,23",
"43,6","-1074,90","-614,40","-254,51",
"43,8","-1081,40","-621,20","-255,82",
44,"-1087,90","-628,00","-258,46",
"44,2","-1094,40","-634,80","-263,74",
"44,4","-1100,90","-641,60","-267,69",
"44,6","-1107,40","-648,40","-267,69",
"44,8","-1113,90","-655,20","-288,79",
45,"-1120,40","-662,00","-290,11",
"45,2","-1126,90","-668,80","-316,48",
"45,4","-1133,40","-675,60","-317,80",
"45,6","-1139,90","-682,40","-327,03",
"45,8","-1146,40","-689,20","-334,95",
46,"-1152,90","-696,00","-349,45",
"46,2","-1159,40","-702,80","-358,68",
"46,4","-1165,90","-709,60","-379,78",
"46,6","-1172,40","-716,40","-394,29",
"46,8","-1178,90","-723,20","-410,11",
47,"-1185,40","-730,00","-408,79",
"47,2","-1191,90","-736,80","-429,89",
"47,4","-1198,40","-743,60","-436,48",
"47,6","-1204,90","-750,40","-449,67",
"47,8","-1211,40","-757,20","-457,58",
