t,Σώμα_A,Σώμα_B,Σώμα_C,STATE
0,y,y,y,
"0,2","-42,20","27,69","72,53",
"0,4","-42,20","26,37","67,25",
"0,6","-42,20","26,37","67,25",
"0,8","-47,47","19,78","65,93",
1,"-50,11","18,46","64,62",
"1,2","-52,75","17,14","64,62",
"1,4","-55,38","17,14","64,62",
"1,6","-58,02","17,14","64,62",
"1,8","-58,02","11,87","63,30",
2,"-64,62","10,55","63,30",
"2,2","-67,25","9,23","63,30",
"2,4","-68,57","7,91","55,38",
"2,6","-72,53","7,91","59,34",
"2,8","-72,53","5,27","55,38",
3,"-76,48","1,32","56,70",
"3,2","-79,12","-6,59","56,70",
"3,4","-89,67","-6,59","56,70",
"3,6","-92,31","-9,23","55,38",
"3,8","-98,90","-10,55","54,07",
4,"-102,86","-10,55","52,75",
"4,2","-105,49","-11,87","47,47",
"4,4","-108,13","-14,51","50,11",
"4,6","-109,45","-17,14","43,52",
"4,8","-109,45","-18,46","40,88",
5,"-114,73","-19,78","50,11",
"5,2","-114,73","-23,74","48,79",
"5,4","-117,36","-25,05","46,15",S
"5,6","-121,32","-21,10","39,56",M
"5,8","-126,59","-21,10","39,56",M
6,"-127,91","-21,10","36,92",M
"6,2","-130,55","-21,10","35,60",M
"6,4","-134,51","-22,42","35,60",M
"6,6","-135,82","-26,37","31,65",F
"6,8","-141,10","-30,33","31,65",
7,"-141,10","-36,92","32,97",
"7,2","-143,74","-39,56","32,97",
"7,4","-145,05","-42,20","31,65",
"7,6","-149,01","-44,84","29,01",
"7,8","-150,33","-46,15","29,01",
8,"-155,60","-47,47","25,05",
"8,2","-160,88","-48,79","25,05",
"8,4","-163,52","-50,11","23,74",
"8,6","-167,47","-50,11","23,74",
"8,8","-170,11","-51,43","21,10",
9,"-172,75","-55,38","21,10",
"9,2","-179,34","-61,98","21,10",
"9,4","-180,66","-64,62","19,78",
"9,6","-184,62","-68,57","19,78",
"9,8","-188,57","-72,53","17,14",
10,"-195,16","-73,85","15,82",
"10,2","-200,44","-75,16","13,19",
"10,4","-207,03","-80,44","11,87",
"10,6","-216,26","-85,71","11,87",
"10,8","-216,26","-85,71","11,87",
11,"-217,58","-87,03","11,87",
"11,2","-225,49","-90,99","10,55",
"11,4","-225,49","-94,95","7,91",
"11,6","-229,45","-94,95","3,96",
"11,8","-230,77","-96,26","3,96",
12,"-233,41","-98,90","3,96",
"12,2","-234,73","-98,90","2,64",
"12,4","-242,64","-100,22","-5,27",
"12,6","-246,59","-104,18","-2,64",
"12,8","-254,51","-104,18","-5,27",
13,"-259,78","-104,18","-5,27",
"13,2","-261,10","-109,45","-7,91",
"13,4","-265,05","-110,77","-13,19",
"13,6","-266,37","-113,41","-13,19",
"13,8","-269,01","-113,41","-13,19",
14,"-271,65","-116,04","-15,82",
"14,2","-278,24","-118,68","-21,10",
"14,4","-282,20","-123,96","-19,78",
"14,6","-284,84","-127,91","-25,05",
"14,8","-286,15","-133,19","-29,01",
15,"-290,11","-135,82","-29,01",
"15,2","-290,11","-138,46","-32,97",
"15,4","-295,38","-141,10","-34,29",
"15,6","-301,98","-145,05","-36,92",
"15,8","-301,98","-147,69","-36,92",
16,"-307,25","-152,97","-39,56",
"16,2","-323,08","-158,24","-40,88",
"16,4","-323,08","-160,88","-46,15",
"16,6","-327,03","-170,11","-46,15",
"16,8","-329,67","-171,43","-47,47",
17,"-330,99","-171,43","-47,47",
"17,2","-340,22","-174,07","-47,47",
"17,4","-342,86","-174,07","-48,79",
"17,6","-349,45","-174,07","-50,11",
"17,8","-358,68","-174,07","-51,43",
18,"-360,00","-176,70","-56,70",
