,Σώμα_A,Σώμα_B,Σώμα_C,STATE
t,y,y,y,
0,"10,25","15,82","58,02",
"0,2","5,05","15,82","55,02",
"0,4","-0,15","15,82","51,43",
"0,6","-5,35","14,51","51,43",
"0,8","-10,55","13,19","51,43",
1,"-15,82","13,19","51,43",
"1,2","-15,82","14,51","51,43",
"1,4","-15,82","15,82","51,43",
"1,6","-15,82","15,82","51,43",
"1,8","-15,82","14,51","50,11",
2,"-15,82","14,51","47,47",
"2,2","-18,46","11,87","47,47",
"2,4","-19,78","7,91","43,52",
"2,6","-23,74","6,59","43,52",
"2,8","-23,74","6,59","43,52",
3,"-23,74","6,59","43,52",
"3,2","-23,74","3,96","43,52",
"3,4","-26,37","0,00","43,52",S
"3,6","-26,37","-1,32","36,92",M
"3,8","-27,69","-1,32","35,60",M
4,"-32,97","-3,96","36,92",M
"4,2","-32,97","-3,96","36,92",M
"4,4","-31,65","-3,96","36,92",M
"4,6","-30,33","-3,96","36,92",M
"4,8","-30,33","-3,96","36,92",M
5,"-26,37","-3,96","36,92",M
"5,2","-26,37","-3,96","32,97",M
"5,4","-26,37","-3,96","32,97",M
"5,6","-26,37","-3,96","27,69",M
"5,8","-31,65","-3,96","27,69",M
6,"-39,56","-3,96","34,29",M
"6,2","-39,56","-3,96","34,29",M
"6,4","-39,56","-3,96","32,97",M
"6,6","-39,56","-3,96","31,65",M
"6,8","-39,56","-3,96","31,65",M
7,"-36,92","-3,96","29,01",M
"7,2","-34,29","-3,96","29,01",M
"7,4","-34,29","-3,96","29,01",M
"7,6","-42,20","-3,96","29,01",M
"7,8","-42,20","-3,96","29,01",M
8,"-40,88","-3,96","26,37",M
"8,2","-39,56","-3,96","15,82",M
"8,4","-35,60","-3,96","14,51",M
"8,6","-35,60","-3,96","14,51",M
"8,8","-42,20","-3,96","13,19",M
9,"-43,52","-3,96","11,87",M
"9,2","-43,52","-3,96","11,87",M
"9,4","-47,47","-3,96","10,55",M
"9,6","-51,43","-3,96","10,55",M
"9,8","-51,43","-3,96","7,91",M
10,"-51,43","-3,96","7,91",M
"10,2","-51,43","-3,96","10,55",M
"10,4","-56,70","-3,96","13,19",M
"10,6","-56,70","-3,96","13,19",M
"10,8","-56,70","-7,91","7,91",M
11,"-56,70","-7,91","9,23",M
"11,2","-56,70","-7,91","11,87",M
"11,4","-56,70","-7,91","13,19",M
"11,6","-56,70","-7,91","13,19",M
"11,8","-50,11","-7,91","13,19",M
12,"-48,79","-7,91","13,19",M
"12,2","-48,79","-9,23","10,55",M
"12,4","-51,43","-9,23","7,91",M
"12,6","-51,43","-9,23","9,23",M
"12,8","-51,43","-9,23","9,23",M
13,"-52,75","-11,87","3,96",F
"13,2","-52,75","-14,51","3,96",
"13,4","-54,07","-19,78","3,96",
"13,6","-58,02","-19,78","3,96",
"13,8","-58,02","-19,78","3,96",
14,"-58,02","-19,78","3,96",
"14,2","-56,70","-18,46","3,96",
"14,4","-59,34","-18,46","3,96",
"14,6","-59,34","-18,46","3,96",
"14,8","-59,34","-17,14","3,96",
15,"-67,25","-17,14","2,64",
"15,2","-67,25","-17,14","-1,32",
"15,4","-67,25","-17,14","-1,32",
"15,6","-67,25","-18,46","-1,32",
"15,8","-67,25","-21,10","-1,32",
16,"-59,34","-22,42","-1,32",
"16,2","-59,34","-22,42","-2,64",
"16,4","-60,66","-25,05","-2,64",
"16,6","-67,25","-25,05","-3,96",
"16,8","-67,25","-22,42","-3,96",
17,"-67,25","-22,42","-5,27",
"17,2","-67,25","-26,37","-5,27",
"17,4","-61,98","-26,37","-5,27",
"17,6","-58,02","-26,37","-5,27",
"17,8","-58,02","-26,37","-6,59",
18,"-55,38","-22,42","-5,27",
"18,2","-55,38","-22,42","-3,96",
"18,4","-60,66","-23,74","-3,96",
"18,6","-69,89","-23,74","-3,96",
"18,8","-69,89","-23,74","1,32",
19,"-69,89","-23,74","1,32",
"19,2","-63,30","-23,74","1,32",
"19,4","-69,89","-23,74","1,32",
"19,6","-69,89","-23,74","1,32",
"19,8","-73,85","-26,37","1,32",
20,"-73,85","-26,37","1,32",
"20,2","-73,85","-29,01","1,32",
"20,4","-73,85","-29,01","1,32",
"20,6","-76,48","-26,37","1,32",
"20,8","-79,12","-27,69","1,32",
21,"-79,12","-27,69","1,32",
"21,2","-77,80","-29,01","-1,32",
"21,4","-77,80","-31,65","-1,32",
"21,6","-81,76","-30,33","-1,32",
"21,8","-81,76","-30,33","-1,32",
22,"-87,03","-30,33","-1,32",
"22,2","-87,03","-31,65","-1,32",
"22,4","-88,35","-32,97","-1,32",
"22,6","-89,67","-36,92","-1,32",
"22,8","-97,58","-38,24","-1,32",
23,"-100,22","-38,24","-1,32",
"23,2","-100,22","-38,24","-1,32",
"23,4","-100,22","-40,88","-1,32",
"23,6","-98,90","-40,88","-1,32",
"23,8","-98,90","-40,88","-1,32",
24,"-105,49","-43,52","0,00",
"24,2","-108,13","-50,11","0,00",
"24,4","-112,09","-50,11","0,00",
"24,6","-114,73","-50,11","0,00",
"24,8","-120,00","-51,43","0,00",
25,"-120,00","-51,43","0,00",
"25,2","-122,64","-43,52","0,00",
"25,4","-123,96","-43,52","0,00",
"25,6","-129,23","-47,47","0,00",
"25,8","-137,14","-43,52","0,00",
26,"-129,23","-48,79","-1,32",
"26,2","-130,55","-48,79","-1,32",
"26,4","-139,78","-48,79","-1,32",
"26,6","-139,78","-50,11","-1,32",
"26,8","-141,10","-50,11","-3,96",
27,"-164,84","-56,70","-3,96",
"27,2","-158,24","-56,70","-6,59",
"27,4","-155,60","-59,34","-6,59",
"27,6","-171,43","-67,25","-10,55",
"27,8","-181,98","-67,25","-10,55",
28,"-179,34","-69,89","-13,19",
"28,2","-179,34","-72,53","-13,19",
"28,4","-180,66","-76,48","-13,19",
"28,6","-183,30","-79,12","-14,51",
"28,8","-193,85","-81,76","-14,51",
29,"-199,12","-83,08","-23,74",
"29,2","-208,35","-88,35","-23,74",
"29,4","-207,03","-87,03","-23,74",
"29,6","-214,95","-83,08","-23,74",
"29,8","-230,77","-83,08","-26,37",
30,"-234,73","-93,63","-26,37",
"30,2","-240,00","-90,99","-29,01",
"30,4","-241,32","-92,31","-29,01",
"30,6","-246,59","-101,54","-29,01",
"30,8","-255,82","-104,18","-29,01",
31,"-265,05","-112,09","-26,37",
