t,Σώμα_A,Σώμα_B,Σώμα_C,STATE
0,y,y,y,
"0,2","129,23","150,33","176,70",
"0,4","127,91","154,29","176,70",
"0,6","126,59","154,29","175,38",
"0,8","123,96","154,29","175,38",
1,"123,96","152,97","175,38",
"1,2","122,64","151,65","174,07",S
"1,4","116,04","150,33","174,07",M
"1,6","116,04","150,33","170,11",M
"1,8","116,04","150,33","170,11",M
2,"116,04","150,33","170,11",M
"2,2","116,04","147,69","170,11",M
"2,4","116,04","147,69","168,79",M
"2,6","113,41","147,69","167,47",M
"2,8","113,41","145,05","167,47",M
3,"106,81","145,05","167,47",M
"3,2","106,81","145,05","167,47",M
"3,4","106,81","145,05","166,15",M
"3,6","106,81","143,74","164,84",M
"3,8","106,81","139,78","163,52",M
4,"104,18","135,82","163,52",M
"4,2","104,18","142,42","159,56",M
"4,4","102,86","142,42","159,56",M
"4,6","102,86","139,78","159,56",M
"4,8","102,86","135,82","159,56",M
5,"102,86","135,82","155,60",M
"5,2","101,54","133,19","155,60",M
"5,4","101,54","133,19","155,60",M
"5,6","101,54","133,19","155,60",M
"5,8","101,54","133,19","155,60",M
6,"101,54","130,55","155,60",M
"6,2","101,54","130,55","155,60",M
"6,4","101,54","127,91","155,60",M
"6,6","104,18","127,91","155,60",M
"6,8","108,13","126,59","155,60",M
7,"108,13","125,27","155,60",M
"7,2","108,13","125,27","150,33",M
"7,4","108,13","122,64","155,60",M
"7,6","108,13","122,64","154,29",M
"7,8","108,13","122,64","154,29",M
8,"108,13","123,96","152,97",M
"8,2","108,13","126,59","150,33",M
"8,4","108,13","126,59","150,33",M
"8,6","108,13","126,59","143,74",M
"8,8","108,13","126,59","149,01",M
9,"108,13","126,59","149,01",M
"9,2","108,13","126,59","149,01",M
"9,4","108,13","125,27","149,01",M
"9,6","108,13","125,27","149,01",M
"9,8","108,13","125,27","142,42",M
10,"108,13","125,27","142,42",M
"10,2","108,13","125,27","142,42",M
"10,4","108,13","125,27","142,42",M
"10,6","108,13","125,27","142,42",M
"10,8","108,13","125,27","141,10",M
11,"112,09","125,27","141,10",M
"11,2","112,09","125,27","141,10",M
"11,4","112,09","125,27","139,78",M
"11,6","112,09","125,27","138,46",M
"11,8","112,09","125,27","138,46",M
12,"112,09","125,27","138,46",M
"12,2","110,77","125,27","138,46",M
"12,4","105,49","125,27","137,14",M
"12,6","105,49","125,27","137,14",M
"12,8","105,49","125,27","137,14",M
13,"105,49","125,27","137,14",M
"13,2","105,49","125,27","135,82",M
"13,4","105,49","125,27","133,19",M
"13,6","105,49","125,27","133,19",M
"13,8","105,49","125,27","133,19",M
14,"105,49","125,27","133,19",M
"14,2","105,49","125,27","131,87",M
"14,4","105,49","125,27","130,55",M
"14,6","105,49","125,27","130,55",M
"14,8","105,49","125,27","130,55",M
15,"105,49","125,27","130,55",M
"15,2","105,49","125,27","130,55",M
"15,4","104,18","125,27","130,55",M
"15,6","101,54","125,27","130,55",M
"15,8","101,54","123,96","130,55",M
16,"100,22","123,96","130,55",M
"16,2","100,22","123,96","130,55",M
"16,4","100,22","123,96","130,55",M
"16,6","100,22","123,96","130,55",M
"16,8","100,22","123,96","130,55",M
17,"100,22","123,96","130,55",M
"17,2","100,22","123,96","130,55",M
"17,4","100,22","123,96","130,55",M
"17,6","100,22","123,96","130,55",M
"17,8","100,22","122,64","130,55",M
18,"100,22","122,64","130,55",M
"18,2","100,22","122,64","130,55",M
"18,4","100,22","122,64","130,55",M
"18,6","98,90","122,64","130,55",M
"18,8","98,90","122,64","130,55",M
19,"98,90","122,64","130,55",M
"19,2","98,90","122,64","130,55",M
"19,4","98,90","122,64","130,55",M
"19,6","98,90","122,64","130,55",M
"19,8","98,90","122,64","130,55",M
20,"97,58","122,64","130,55",M
"20,2","97,58","117,36","130,55",M
"20,4","96,26","116,04","130,55",M
"20,6","96,26","116,04","130,55",M
"20,8","94,95","116,04","130,55",M
21,"94,95","116,04","129,23",M
"21,2","94,95","116,04","129,23",M
"21,4","93,63","116,04","129,23",M
"21,6","90,99","116,04","129,23",M
"21,8","88,35","116,04","129,23",M
22,"88,35","116,04","129,23",M
"22,2","88,35","116,04","129,23",M
"22,4","87,03","116,04","126,59",M
"22,6","87,03","116,04","122,64",M
"22,8","85,71","116,04","122,64",M
23,"84,40","116,04","122,64",M
"23,2","83,08","116,04","122,64",M
"23,4","81,76","116,04","122,64",M
"23,6","81,76","116,04","121,32",M
"23,8","80,44","116,04","121,32",M
24,"80,44","114,73","121,32",M
"24,2","80,44","114,73","121,32",M
"24,4","79,12","114,73","123,96",M
,"79,12","114,73","123,96",M
,"79,12","114,73","123,96",M
,"79,12","112,09","123,96",M
,"79,12","112,09","123,96",M
,"79,12","112,09","123,96",M
,"77,80","110,77","123,96",M
,"77,80","110,77","123,96",M
,"77,80","110,77","123,96",M
,"77,80","110,77","123,96",M
,"75,16","110,77","123,96",M
,"75,16","110,77","123,96",M
,"73,85","110,77","123,96",M
,"68,57","110,77","123,96",M
,"67,25","110,77","123,96",M
,"67,25","110,77","123,96",M
,"67,25","110,77","123,96",M
,"65,93","110,77","123,96",M
,"64,62","110,77","123,96",M
,"63,30","109,45","123,96",F
,"59,34","109,45","123,96",
,"55,38","108,13","123,96",
,"54,07","106,81","122,64",
,"52,75","106,81","122,64",
,"52,75","106,81","122,64",
,"51,43","105,49","122,64",
,"51,43","105,49","122,64",
,"50,11","101,54","122,64",
,"50,11","101,54","122,64",
,"50,11","101,54","121,32",
,"47,47","101,54","121,32",
,"46,15","101,54","121,32",
,"44,84","101,54","121,32",
,"44,84","100,22","121,32",
,"44,84","98,90","117,36",
,"39,56","98,90","117,36",
,"39,56","97,58","122,64",
,"38,24","97,58","122,64",
,"38,24","97,58","122,64",
,"32,97","97,58","122,64",
,"32,97","97,58","120,00",
,"32,97","97,58","120,00",
,"32,97","96,26","120,00",
,"29,01","96,26","116,04",
,"29,01","96,26","117,36",
,"27,69","96,26","117,36",
,"26,37","94,95","117,36",
,"25,05","94,95","116,04",
,"19,78","93,63","116,04",
,"19,78","89,67","116,04",
,"18,46","89,67","116,04",
,"17,14","90,99","116,04",
,"13,19","90,99","116,04",
,"11,87","90,99","116,04",
,"9,23","89,67","114,73",
,"9,23","89,67","114,73",
,"-3,96","88,35","114,73",
