t,Σώμα_A,Σώμα_B,Σώμα_C,STATE
"30,2","-313,16","-163,06","-32,97",
"30,4","-317,46","-167,36","-36,92",
"30,6","-321,76","-171,66","-36,92",
"30,8","-326,06","-175,96","-39,56",
31,"-330,36","-180,26","-35,60",
"31,2","-334,66","-184,56","-36,92",
"31,4","-338,96","-188,86","-42,20",
"31,6","-343,26","-193,16","-44,84",
"31,8","-347,56","-197,46","-44,84",
32,"-351,86","-201,76","-47,47",
"32,2","-356,16","-206,06","-47,47",
"32,4","-360,46","-210,36","-47,47",
"32,6","-364,76","-214,66","-56,70",
"32,8","-369,06","-218,96","-52,75",
33,"-373,36","-223,26","-52,75",
"33,2","-377,66","-227,56","-52,75",
"33,4","-381,96","-231,86","-52,75",
"33,6","-386,26","-236,16","-52,75",
"33,8","-390,56","-240,46","-59,34",
34,"-394,86","-244,76","-60,66",
"34,2","-399,16","-249,06","-64,62",
"34,4","-403,46","-253,36","-73,85",
"34,6","-407,76","-257,66","-75,16",
"34,8","-412,06","-261,96","-75,16",
35,"-416,36","-266,26","-76,48",
"35,2","-420,66","-270,56","-73,85",
"35,4","-424,96","-274,86","-72,53",
"35,6","-429,26","-279,16","-73,85",
"35,8","-433,56","-283,46","-80,44",
36,"-437,86","-287,76","-92,31",
"36,2","-442,16","-292,06","-83,08",
"36,4","-446,46","-296,36","-83,08",
"36,6","-450,76","-300,66","-83,08",
"36,8","-455,06","-304,96","-83,08",
37,"-459,36","-309,26","-84,40",
"37,2","-463,66","-313,56","-80,44",
"37,4","-467,96","-317,86","-92,31",
"37,6","-472,26","-322,16","-94,95",
"37,8","-476,56","-326,46","-97,58",
38,"-480,86","-330,76","-108,13",
"38,2","-485,16","-335,06","-109,45",
"38,4","-489,46","-339,36","-113,41",
