t,Σώμα_A,Σώμα_B,Σώμα_C,STATE
,y,y,y,
0,"29,01","56,70","71,21",
"0,2","29,01","56,70","71,21",
"0,4","29,01","51,43","71,21",
"0,6","27,69","51,43","69,89",
"0,8","22,42","51,43","69,89",
1,"22,42","51,43","68,57",
"1,2","22,42","51,43","67,25",
"1,4","19,78","50,11","67,25",
"1,6","19,78","48,79","61,98",S
"1,8","19,78","47,47","61,98",M
2,"19,78","47,47","61,98",M
"2,2","17,14","47,47","61,98",M
"2,4","17,14","47,47","69,89",M
"2,6","15,82","44,84","69,89",M
"2,8","15,82","44,84","67,25",M
3,"15,82","44,84","67,25",M
"3,2","15,82","44,84","65,93",M
"3,4","14,51","44,84","65,93",M
"3,6","14,51","44,84","64,62",M
"3,8","13,19","42,20","59,34",M
4,"13,19","39,56","59,34",M
"4,2","13,19","39,56","59,34",M
"4,4","13,19","39,56","58,02",M
"4,6","13,19","39,56","54,07",M
"4,8","13,19","39,56","52,75",M
5,"13,19","35,60","52,75",M
"5,2","13,19","35,60","52,75",M
"5,4","13,19","35,60","52,75",M
"5,6","13,19","35,60","52,75",M
"5,8","13,19","35,60","52,75",M
6,"13,19","35,60","52,75",M
"6,2","11,87","35,60","52,75",M
"6,4","11,87","34,29","51,43",M
"6,6","11,87","34,29","51,43",M
"6,8","11,87","32,97","48,79",M
7,"11,87","32,97","47,47",M
"7,2","10,55","32,97","46,15",M
"7,4","10,55","32,97","46,15",M
"7,6","10,55","30,33","46,15",M
"7,8","10,55","30,33","46,15",M
8,"10,55","30,33","46,15",M
"8,2","10,55","30,33","46,15",M
"8,4","7,91","30,33","46,15",M
"8,6","7,91","30,33","46,15",M
"8,8","7,91","30,33","46,15",M
9,"7,91","30,33","46,15",M
"9,2","5,27","30,33","44,84",M
"9,4","5,27","30,33","43,52",M
"9,6","3,96","30,33","43,52",M
"9,8","3,96","30,33","43,52",M
10,"3,96","30,33","43,52",M
"10,2","3,96","30,33","43,52",M
"10,4","3,96","30,33","40,88",M
"10,6","2,64","30,33","39,56",M
"10,8","-2,64","25,05","38,24",F
11,"-2,64","25,05","35,60",
"11,2","-5,27","25,05","35,60",
"11,4","-7,91","25,05","35,60",
"11,6","-7,91","22,42","35,60",
"11,8","-9,23","21,10","35,60",
12,"-9,23","19,78","35,60",
"12,2","-9,23","19,78","35,60",
"12,4","-10,55","19,78","35,60",
"12,6","-10,55","19,78","35,60",
"12,8","-14,51","19,78","35,60",
13,"-17,14","17,14","35,60",
"13,2","-18,46","15,82","35,60",
"13,4","-19,78","11,87","35,60",
"13,6","-27,69","11,87","35,60",
"13,8","-23,74","10,55","35,60",
14,"-23,74","13,19","35,60",
"14,2","-23,74","13,19","32,97",
"14,4","-31,65","14,51","32,97",
"14,6","-31,65","14,51","32,97",
"14,8","-31,65","14,51","32,97",
15,"-32,97","13,19","32,97",
"15,2","-34,29","14,51","32,97",
"15,4","-36,92","14,51","32,97",
"15,6","-36,92","14,51","32,97",
"15,8","-40,88","14,51","31,65",
16,"-42,20","7,91","25,05",
"16,2","-44,84","6,59","27,69",
"16,4","-46,15","6,59","27,69",
"16,6","-50,11","2,64","27,69",
"16,8","-55,38","0,00","27,69",
17,"-61,98","5,27","27,69",
"17,2","-64,62","5,27","27,69",
"17,4","-64,62","-2,64","27,69",
"17,6","-68,57","-2,64","27,69",
"17,8","-75,16","-2,64","27,69",
18,"-75,16","-3,96","23,74",
"18,2","-77,80","-3,96","21,10",
"18,4","-77,80","-3,96","19,78",
"18,6","-77,80","-6,59","19,78",
"18,8","-77,80","-6,59","21,10",
19,"-77,80","-6,59","21,10",
"19,2","-80,44","-6,59","21,10",
"19,4","-88,35","-10,55","22,42",
"19,6","-93,63","-10,55","21,10",
"19,8","-92,31","-14,51","17,14",
20,"-92,31","-14,51","17,14",
"20,2","-96,26","-18,46","17,14",
"20,4","-97,58","-19,78","17,14",
"20,6","-98,90","-30,33","17,14",
"20,8","-104,18","-27,69","15,82",
21,"-109,45","-27,69","14,51",
"21,2","-120,00","-31,65","15,82",
"21,4","-123,96","-36,92","17,14",
"21,6","-128,26","-39,56","14,51",
"21,8","-132,56","-36,92","14,51",
22,"-136,86","-36,92","13,19",
"22,2","-141,16","-43,52","11,87",
"22,4","-145,46","-44,84","11,87",
"22,6","-149,76","-44,84","11,87",
"22,8","-154,06","-44,84","10,55",
23,"-158,36","-46,15","9,23",
"23,2","-162,66","-47,47","9,23",
"23,4","-166,96","-47,47","6,59",
"23,6","-171,26","-47,47","3,96",
"23,8","-175,56","-50,11","1,32",
24,"-179,86","-56,70","0,00",
"24,2","-184,16","-59,34","-1,32",
"24,4","-188,46","-59,34","-1,32",
"24,6","-192,76","-67,25","-6,59",
"24,8","-197,06","-68,57","-18,46",
25,"-201,36","-68,57","-2,64",
"25,2","-205,66","-77,80","-2,64",
"25,4","-209,96","-77,80","-2,64",
"25,6","-214,26","-77,80","-3,96",
"25,8","-218,56","-79,12","-7,91",
26,"-222,86","-79,12","-11,87",
"26,2","-227,16","-87,03","-17,14",
"26,4","-231,46","-89,67","-17,14",
"26,6","-235,76","-96,26","-14,51",
"26,8","-240,06","-101,54","-17,14",
27,"-244,36","-102,86","-19,78",
"27,2","-248,66","-102,86","-21,10",
"27,4","-252,96","-102,86","-22,42",
"27,6","-257,26","-107,16","-21,10",
"27,8","-261,56","-111,46","-21,10",
28,"-265,86","-115,76","-21,10",
"28,2","-270,16","-120,06","-21,10",
"28,4","-274,46","-124,36","-21,10",
"28,6","-278,76","-128,66","-29,01",
"28,8","-283,06","-132,96","-30,33",
29,"-287,36","-137,26","-31,65",
"29,2","-291,66","-141,56","-26,37",
"29,4","-295,96","-145,86","-38,24",
"29,6","-300,26","-150,16","-31,65",
"29,8","-304,56","-154,46","-38,24",
30,"-308,86","-158,76","-31,65",
