t,Σώμα_A,Σώμα_B,Σώμα_C,STATE
24,"-116,04","-2,64","10,55",
"24,2","-122,64","-2,64","9,23",
"24,4","-127,91","-2,64","9,23",
"24,6","-134,51","-2,64","1,32",
"24,8","-134,51","-2,64","0,00",
25,"-135,82","-2,64","7,91",
"25,2","-139,78","-2,64","7,91",
"25,4","-143,74","-3,96","7,91",
"25,6","-145,05","-6,59","7,91",
"25,8","-147,69","-7,91","7,91",
26,"-158,24","-7,91","14,51",
"26,2","-159,56","-9,23","14,51",
"26,4","-159,56","-11,87","14,51",
"26,6","-164,84","-11,87","14,51",
"26,8","-168,79","-14,51","14,51",
27,"-170,11","-14,51","14,51",
"27,2","-172,75","-14,51","14,51",
"27,4","-172,75","-13,19","14,51",
"27,6","-172,75","-13,19","14,51",
"27,8","-172,75","-14,51","14,51",
28,"-174,07","-14,51","14,51",
"28,2","-178,02","-17,14","13,19",
"28,4","-180,66","-21,10","13,19",
"28,6","-184,62","-23,74","11,87",
"28,8","-187,25","-26,37","10,55",
29,"-191,21","-27,69","10,55",
"29,2","-196,48","-27,69","9,23",
"29,4","-207,03","-29,01","3,96",
"29,6","-208,35","-35,60","3,96",
"29,8","-210,99","-36,92","-2,64",
30,"-213,63","-36,92","-2,64",
"30,2","-221,54","-36,92","-1,32",
"30,4","-224,18","-39,56","-1,32",
"30,6","-228,13","-43,52","-2,64",
"30,8","-233,41","-44,84","-2,64",
31,"-237,36","-46,15","-9,23",
"31,2","-246,59","-50,11","-6,59",
"31,4","-251,87","-55,38","-7,91",
"31,6","-254,51","-58,02","-7,91",
"31,8","-255,82","-48,79","-7,91",
32,"-258,46","-48,79","-7,91",
"32,2","-263,74","-47,47","-7,91",
"32,4","-267,69","-50,11","-2,64",
"32,6","-267,69","-55,38","-2,64",
"32,8","-270,33","-55,38","-11,87",
33,"-270,33","-50,11","-11,87",
"33,2","-275,60","-52,75","-14,51",
"33,4","-276,92","-54,07","-14,51",
"33,6","-282,22","-54,07","-14,51",
"33,8","-287,52","-54,07","-17,14",
34,"-292,82","-54,07","-19,78",
"34,2","-298,12","-59,34","-14,51",
"34,4","-303,42","-59,34","-14,51",
"34,6","-308,72","-63,30","-22,42",
"34,8","-314,02","-64,62","-29,01",
35,"-319,32","-64,62","-29,01",
"35,2","-324,62","-65,93","-29,01",
"35,4","-329,92","-72,53","-30,33",
"35,6","-335,22","-76,48","-29,01",
"35,8","-340,52","-79,12","-26,37",
36,"-345,82","-79,12","-27,69",
"36,2","-351,12","-79,12","-31,65",
"36,4","-356,42","-80,44","-27,69",
,"-361,72","-88,35","-36,92",
,"-367,02","-88,35","-38,24",
,"-372,32","-88,35","-32,97",
,"-377,62","-89,67","-32,97",
,"-382,92","-90,99","-29,01",
,"-388,22","-90,99","-27,69",
,"-393,52","-94,95","-27,69",
,"-398,82","-94,95","-26,37",
,"-404,12","-102,86","-30,33",
,"-409,42","-105,49","-34,29",
,"-414,72","-102,86","-34,29",
,"-420,02","-109,45","-43,52",
,"-425,32","-110,77","-38,24",
,"-430,62","-114,73","-40,88",
,"-435,92","-112,09","-42,20",
,"-441,22","-114,73","-42,20",
,"-446,52","-123,96","-50,11",
,"-451,82","-127,91","-55,38",
,"-457,12","-127,91","-56,70",
,"-462,42","-127,91","-56,70",
,"-467,72","-127,91","-56,70",
,"-473,02","-133,19","-63,30",
,"-478,32","-134,51","-60,66",
,"-483,62","-138,46","-72,53",
,"-488,92","-145,05","-73,85",
,"-494,22","-145,05","-73,85",
,"-499,52","-145,05","-75,16",
,"-504,82","-143,74","-81,76",
,"-510,12","-150,33","-85,71",
,"-515,42","-156,92","-88,35",
,"-520,72","-154,29","-89,67",
,"-526,02","-154,29","-89,67",
,"-531,32","-158,24","-90,99",
,"-536,62","-166,15","-98,90",
,"-541,92","-167,47","-97,58",
,"-547,22","-168,79","-97,58",
,"-552,52","-171,43","-100,22",
,"-557,82","-175,38","-102,86",
,"-563,12","-175,38","-102,86",
,"-568,42","-178,02","-104,18",
,"-573,72","-181,98","-104,18",
,"-579,02","-184,62","-116,04",
,"-584,32","-188,57","-112,09",
,"-589,62","-191,21","-117,36",
,"-594,92","-196,48","-117,36",
,"-600,22","-203,08","-117,36",
,"-605,52","-203,08","-120,00",
,"-610,82","-217,58","-126,59",
,"-616,12","-208,35","-131,87",
,"-621,42","-209,67","-133,19",
,"-626,72","-217,58","-130,55",
,"-632,02","-220,22","-130,55",
,"-637,32","-226,81","-134,51",
,"-642,62","-237,36","-135,82",
,"-647,92","-242,64","-138,46",
,"-653,22","-242,64","-143,74",
,"-658,52","-257,14","-149,01",
,"-663,82","-263,74","-151,65",
,"-669,12","-266,37","-151,65",
,"-674,42","-269,01","-151,65",
,"-679,72","-272,97","-159,56",
,"-685,02","-282,20","-172,75",
,"-690,32","-287,90","-175,38",
,"-695,62","-293,60","-176,70",
,"-700,92","-299,30","-174,07",
,"-706,22","-305,00","-175,38",
,"-711,52","-310,70","-179,34",
,"-716,82","-316,40","-188,57",
,"-722,12","-322,10","-191,21",
,"-727,42","-327,80","-197,80",
,"-732,72","-333,50","-200,44",
,"-738,02","-339,20","-203,08",
,"-743,32","-344,90","-209,67",
,"-748,62","-350,60","-216,26",
,"-753,92","-356,30","-217,58",
,"-759,22","-362,00","-230,77",
,"-764,52","-367,70","-226,81",
,"-769,82","-373,40","-229,45",
,"-775,12","-379,10","-234,73",
,"-780,42","-384,80","-250,55",
,"-785,72","-390,50","-254,51",
,"-791,02","-396,20","-259,78",
,"-796,32","-401,90","-267,69",
,"-801,62","-407,60","-276,92",
,"-806,92","-413,30","-290,11",
,"-812,22","-419,00","-290,11",
,"-817,52","-424,70","-288,79",
