t,Σώμα_A,Σώμα_B,Σώμα_C,STATE
t,y,y,y,
0,"7,91","48,79","76,48",
"0,2","7,91","48,79","75,16",
"0,4","7,91","48,79","75,16",
"0,6","7,91","46,15","75,16",
"0,8","5,27","44,84","73,85",
1,"3,96","44,84","73,85",
"1,2","1,32","40,88","73,85",
"1,4","0,00","40,88","71,21",
"1,6","0,00","34,29","73,85",
"1,8","-1,32","39,56","73,85",
2,"-2,64","39,56","76,48",
"2,2","-2,64","42,20","76,48",
"2,4","-2,64","39,56","67,25",
"2,6","-2,64","40,88","67,25",
"2,8","-3,96","42,20","67,25",
3,"-3,96","39,56","67,25",
"3,2","-6,59","39,56","67,25",
"3,4","-3,96","39,56","69,89",
"3,6","-3,96","39,56","51,43",
"3,8","-3,96","38,24","54,07",
4,"-3,96","38,24","55,38",S
"4,2","-3,96","36,92","59,34",M
"4,4","-5,27","36,92","64,62",M
"4,6","-9,23","36,92","63,30",M
"4,8","-9,23","36,92","65,93",M
5,"-10,55","36,92","60,66",M
"5,2","-17,14","36,92","61,98",M
"5,4","-18,46","35,60","61,98",M
"5,6","-25,05","35,60","58,02",M
"5,8","-25,05","35,60","58,02",M
6,"-25,05","35,60","52,75",M
"6,2","-25,05","35,60","47,47",M
"6,4","-22,42","35,60","51,43",M
"6,6","-25,05","32,97","51,43",M
"6,8","-25,05","32,97","52,75",M
7,"-25,05","32,97","52,75",M
"7,2","-30,33","32,97","52,75",M
"7,4","-32,97","32,97","52,75",M
"7,6","-34,29","23,74","55,38",M
"7,8","-39,56","21,10","52,75",M
8,"-39,56","18,46","52,75",M
"8,2","-40,88","18,46","51,43",M
"8,4","-42,20","18,46","51,43",M
"8,6","-44,84","18,46","43,52",M
"8,8","-46,15","18,46","38,24",M
9,"-51,43","18,46","43,52",M
"9,2","-51,43","18,46","43,52",M
"9,4","-50,11","18,46","43,52",M
"9,6","-50,11","18,46","43,52",M
"9,8","-50,11","18,46","46,15",M
10,"-50,11","18,46","47,47",M
"10,2","-50,11","18,46","44,84",M
"10,4","-50,11","18,46","46,15",M
"10,6","-51,43","18,46","47,47",M
"10,8","-51,43","18,46","47,47",M
11,"-51,43","18,46","47,47",M
"11,2","-51,43","17,14","39,56",M
"11,4","-54,07","17,14","40,88",M
"11,6","-54,07","17,14","40,88",M
"11,8","-54,07","15,82","43,52",M
12,"-54,07","15,82","42,20",M
"12,2","-54,07","15,82","42,20",M
"12,4","-54,07","11,87","39,56",M
"12,6","-54,07","11,87","38,24",M
"12,8","-54,07","11,87","38,24",M
13,"-54,07","11,87","38,24",M
"13,2","-54,07","11,87","36,92",M
"13,4","-51,43","11,87","36,92",M
"13,6","-55,38","11,87","36,92",M
"13,8","-56,70","10,55","36,92",M
14,"-56,70","10,55","36,92",M
"14,2","-56,70","10,55","36,92",M
"14,4","-56,70","10,55","32,97",M
"14,6","-56,70","10,55","40,88",M
"14,8","-60,66","10,55","40,88",M
15,"-63,30","7,91","40,88",F
"15,2","-63,30","7,91","38,24",
"15,4","-63,30","5,27","34,29",
"15,6","-64,62","5,27","39,56",
"15,8","-64,62","5,27","38,24",
16,"-64,62","5,27","38,24",
"16,2","-64,62","5,27","38,24",
"16,4","-65,93","5,27","38,24",
"16,6","-68,57","2,64","38,24",
"16,8","-71,21","2,64","40,88",
17,"-75,16","2,64","40,88",
"17,2","-76,48","5,27","40,88",
"17,4","-76,48","5,27","39,56",
"17,6","-71,21","5,27","35,60",
"17,8","-71,21","5,27","43,52",
18,"-72,53","5,27","43,52",
"18,2","-73,85","5,27","42,20",
"18,4","-73,85","5,27","40,88",
"18,6","-73,85","5,27","40,88",
"18,8","-76,48","5,27","38,24",
19,"-79,12","5,27","38,24",
"19,2","-83,08","5,27","30,33",
"19,4","-85,71","5,27","30,33",
"19,6","-88,35","5,27","32,97",
"19,8","-88,35","5,27","32,97",
20,"-89,67","3,96","30,33",
"20,2","-89,67","3,96","29,01",
"20,4","-89,67","3,96","25,05",
"20,6","-89,67","3,96","18,46",
"20,8","-89,67","3,96","18,46",
21,"-89,67","3,96","18,46",
"21,2","-90,99","3,96","19,78",
"21,4","-92,31","2,64","21,10",
"21,6","-94,95","2,64","18,46",
"21,8","-98,90","2,64","10,55",
22,"-98,90","2,64","10,55",
"22,2","-98,90","2,64","10,55",
"22,4","-104,18","2,64","10,55",
"22,6","-104,18","2,64","13,19",
"22,8","-104,18","0,00","9,23",
23,"-105,49","-1,32","9,23",
"23,2","-108,13","-1,32","13,19",
"23,4","-109,45","-1,32","9,23",
"23,6","-113,41","-2,64","9,23",
"23,8","-113,41","-2,64","7,91",
