,Σώμα_A,Σώμα_B,Σώμα_C,STATE
t,y,y,y,
"67,4","-647,28","-465,11","-116,04",
"67,6","-650,68","-469,21","-116,04",
"67,8","-654,08","-473,31","-116,04",
68,"-657,48","-477,41","-116,04",
"68,2","-660,88","-481,51","-116,04",
"68,4","-664,28","-485,61","-116,04",
"68,6","-667,68","-489,71","-118,68",
"68,8","-671,08","-493,81","-125,27",
69,"-674,48","-497,91","-125,27",
"69,2","-677,88","-502,01","-126,59",
"69,4","-681,28","-506,11","-126,59",
"69,6","-684,68","-510,21","-126,59",
"69,8","-688,08","-514,31","-127,91",
70,"-691,48","-518,41","-133,19",
"70,2","-694,88","-522,51","-135,82",
"70,4","-698,28","-526,61","-137,14",
"70,6","-701,68","-530,71","-137,14",
"70,8","-705,08","-534,81","-137,14",
71,"-708,48","-538,91","-139,78",
"71,2","-711,88","-543,01","-142,42",
"71,4","-715,28","-547,11","-147,69",
"71,6","-718,68","-551,21","-147,69",
"71,8","-722,08","-555,31","-154,29",
72,"-725,48","-559,41","-158,24",
"72,2","-728,88","-563,51","-162,20",
"72,4","-732,28","-567,61","-162,20",
"72,6","-735,68","-571,71","-162,20",
"72,8","-739,08","-575,81","-167,47",
73,"-742,48","-579,91","-175,38",
"73,2","-745,88","-584,01","-178,02",
"73,4","-749,28","-588,11","-184,62",
"73,6","-752,68","-592,21","-184,62",
"73,8","-756,08","-596,31","-191,21",
74,"-759,48","-600,41","-191,21",
"74,2","-762,88","-604,51","-191,21",
"74,4","-766,28","-608,61","-199,12",
"74,6","-769,68","-612,71","-203,08",
"74,8","-773,08","-616,81","-204,40",
75,"-776,48","-620,91","-204,40",
"75,2","-779,88","-625,01","-204,40",
"75,4","-783,28","-629,11","-207,03",
"75,6","-786,68","-633,21","-218,90",
"75,8","-790,08","-637,31","-224,18",
76,"-793,48","-641,41","-224,18",
"76,2","-796,88","-645,51","-218,90",
"76,4","-800,28","-649,61","-218,90",
"76,6","-803,68","-653,71","-221,54",
"76,8","-807,08","-657,81","-225,49",
77,"-810,48","-661,91","-225,49",
"77,2","-813,88","-666,01","-228,13",
"77,4","-817,28","-670,11","-228,13",
"77,6","-820,68","-674,21","-228,13",
"77,8","-824,08","-678,31","-229,45",
78,"-827,48","-682,41","-230,77",
"78,2","-830,88","-686,51","-230,77",
"78,4","-834,28","-690,61","-232,09",
"78,6","-837,68","-694,71","-232,09",
"78,8","-841,08","-698,81","-232,09",
79,"-844,48","-702,91","-232,09",
"79,2","-847,88","-707,01","-236,04",
"79,4","-851,28","-711,11","-236,04",
"79,6","-854,68","-715,21","-236,04",
"79,8","-858,08","-719,31","-242,64",
80,"-861,48","-723,41","-247,91",
"80,2","-864,88","-727,51","-259,78",
"80,4","-868,28","-731,61","-280,88",
"80,6","-871,68","-735,71","-286,15",
"80,8","-875,08","-739,81","-295,38",
81,"-878,48","-743,91","-304,62",
"81,2","-881,88","-748,01","-315,16",
"81,4","-885,28","-752,11","-327,03",
"81,6","-888,68","-756,21","-336,26",
"81,8","-892,08","-760,31","-342,86",
82,"-895,48","-764,41","-350,77",
"82,2","-898,88","-768,51","-378,46",
