,Σώμα_B,Σώμα_C,Σώμα_D,,,,,,,,,,,,,Υ-axis
t,y,y,y,,,,,,,,,,,,,
"20,2","-46,15","-21,10","3,96",M,,,,,,,,,,,,
"20,4","-47,47","-21,10","2,64",M,,,,,,,,,,,,
"20,6","-47,47","-21,10","1,32",M,,,,,,,,,,,,
"20,8","-47,47","-21,10","1,32",M,,,,,,,,,,,,
21,"-47,47","-31,10","-1,32",M,,,,,,,,,,,,
"21,2","-47,47","-31,10","-2,64",M,,,,,,,,,,,,
"21,4","-47,47","-31,10","-2,64",M,,,,,,,,,,,,
"21,6","-47,47","-31,10","-3,96",M,,,,,,,,,,,,
"21,8","-47,47","-35,10","-5,27",M,,,,,,,,,,,,
22,"-47,47","-42,20","-5,27",M,,,,,,,,,,,,
"22,2","-48,79","-42,20","-7,91",M,,,,,,,,,,,,
"22,4","-48,79","-42,20","-7,91",M,,,,,,,,,,,,
"22,6","-48,79","-42,20","-9,23",M,,,,,,,,,,,,
"22,8","-48,79","-42,20","-9,23",M,,,,,,,,,,,,
23,"-50,11","-42,20","-9,23",M,,,,,,,,,,,,
"23,2","-50,11","-43,52","-9,23",M,,,,,,,,,,,,
"23,4","-50,11","-43,52","-10,55",M,,,,,,,,,,,,
"23,6","-50,11","-43,52","-11,87",M,,,,,,,,,,,,
"23,8","-50,11","-43,52","-11,87",M,,,,,,,,,,,,
24,"-50,11","-43,52","-14,51",M,,,,,,,,,,,,
"24,2","-50,11","-43,52","-11,87",M,,,,,,,,,,,,
"24,4","-50,11","-43,52","-11,87",M,,,,,,,,,,,,
"24,6","-50,11","-43,52","-18,46",M,,,,,,,,,,,,
"24,8","-50,11","-43,52","-21,10",M,,,,,,,,,,,,
25,"-51,43","-43,52","-17,14",M,,,,,,,,,,,,
"25,2","-52,75","-43,52","-18,46",M,,,,,,,,,,,,
"25,4","-56,70","-43,52","-18,46",M,,,,,,,,,,,,
"25,6","-58,02","-43,52","-19,78",M,,,,,,,,,,,,
"25,8","-60,66","-43,52","-19,78",M,,,,,,,,,,,,
26,"-60,66","-43,52","-19,78",M,,,,,,,,,,,,
"26,2","-61,98","-43,52","-19,78",M,,,,,,,,,,,,
"26,4","-63,30","-43,52","-19,78",M,,,,,,,,,,,,
"26,6","-64,62","-43,52","-19,78",M,,,,,,,,,,,,
"26,8","-67,25","-43,52","-19,78",M,,,,,,,,,,,,
27,"-68,57","-43,52","-18,46",M,,,,,,,,,,,,
"27,2","-68,57","-43,52","-19,78",M,,,,,,,,,,,,
"27,4","-68,57","-43,52","-23,74",M,,,,,,,,,,,,
"27,6","-68,57","-43,52","-25,05",M,,,,,,,,,,,,
"27,8","-80,44","-44,84","-25,05",F,,,,,,,,,,,,
28,"-88,35","-47,47","-25,05",,,,,,,,,,,,,
"28,2","-88,35","-47,47","-26,37",,,,,,,,,,,,,
"28,4","-88,35","-47,47","-26,37",,,,,,,,,,,,,
"28,6","-97,58","-47,47","-26,37",,,,,,,,,,,,,
"28,8","-98,90","-52,75","-26,37",,,,,,,,,,,,,
29,"-100,22","-52,75","-26,37",,,,,,,,,,,,,
"29,2","-104,18","-54,07","-30,33",,,,,,,,,,,,,
"29,4","-104,18","-58,02","-30,33",,,,,,,,,,,,,
"29,6","-106,81","-64,62","-25,05",,,,,,,,,,,,,
"29,8","-106,81","-64,62","-25,05",,,,,,,,,,,,,
30,"-108,13","-64,62","-25,05",,,,,,,,,,,,,
"30,2","-117,36","-65,93","-29,01",,,,,,,,,,,,,
"30,4","-125,27","-65,93","-29,01",,,,,,,,,,,,,
"30,6","-122,64","-65,93","-25,05",,,,,,,,,,,,,
"30,8","-126,59","-75,16","-30,33",,,,,,,,,,,,,
31,"-134,51","-76,48","-34,29",,,,,,,,,,,,,
"31,2","-137,14","-76,48","-39,56",,,,,,,,,,,,,
"31,4","-142,42","-79,12","-39,56",,,,,,,,,,,,,
"31,6","-142,42","-85,71","-35,60",,,,,,,,,,,,,
"31,8","-142,42","-89,67","-40,88",,,,,,,,,,,,,
32,"-147,69","-92,31","-42,20",,,,,,,,,,,,,
"32,2","-150,33","-92,31","-42,20",,,,,,,,,,,,,
"32,4","-150,33","-92,31","-43,52",,,,,,,,,,,,,
"32,6","-159,56","-92,31","-44,84",,,,,,,,,,,,,
"32,8","-163,52","-92,31","-46,15",,,,,,,,,,,,,
33,"-174,07","-93,63","-48,79",,,,,,,,,,,,,
"33,2","-174,07","-96,26","-47,47",,,,,,,,,,,,,
"33,4","-174,07","-97,58","-47,47",,,,,,,,,,,,,
"33,6","-171,43","-108,13","-47,47",,,,,,,,,,,,,
"33,8","-176,70","-109,45","-47,47",,,,,,,,,,,,,
34,"-176,70","-114,73","-52,75",,,,,,,,,,,,,
"34,2","-187,25","-125,27","-52,75",,,,,,,,,,,,,
"34,4","-185,93","-126,59","-52,75",,,,,,,,,,,,,
"34,6","-199,12","-133,19","-50,11",,,,,,,,,,,,,
"34,8","-204,40","-134,51","-48,79",,,,,,,,,,,,,
